runIndex,capsuleCdScale,drogueCdScale,mainCdScale,mass_kg,densityScaleFactor,drogueDeployAltitudeOffset_m,mainDeployAltitudeOffset_m,touchdownVelocity_mps,totalDescentTime_s,peakDeceleration_g
195,0.95536555944701,1.01847006571867,1.08247266912334,6471.06621890057,1.00737799501381,52.6240880370082,93.2452089661124,8.59326678630252,383.646141269166,3.33943196585392
196,0.926313537025452,1.04316499293642,1.08180650413313,6467.96831088702,0.984252599495433,188.558037616656,-127.609218916204,8.69486711478853,361.432821685118,3.48815461585233
197,1.07087701867392,0.998455571289607,0.949446214880635,6537.07499012725,0.99671831530016,5.92694157187608,-56.3066522400937,9.26573235363829,351.315439001342,3.02831339334923
198,1.01859017028699,0.932704774517005,0.978216307330352,6546.94123223353,0.985488005962068,62.6946658165169,-69.923974310122,9.1892838516733,348.00056761573,3.0292105408893
199,1.05469462513732,0.92617473214367,1.09396420901571,6495.37895413836,0.984163027800788,-170.601301067995,-132.096837964984,8.66265706350647,357.166340124787,3.04794155537558
200,1.0039547897112,0.967400635286257,1.06577667317652,6493.08875236618,0.984922856355258,46.857994641612,82.7108867541783,8.77207965674749,374.257499427226,3.12926234430708
201,0.93340838158019,0.933523843257664,0.907334285386709,6523.64020150656,1.00982827165731,-10.1476497000744,137.668179587679,9.40941388076667,357.97745046766,3.22096056075321
202,1.06113403059001,1.01707087287935,1.07365425610265,6470.58412100368,0.976715177163864,-92.1001553932041,-177.165257564274,8.76018730483707,354.64151569668,3.08094653721911
203,1.00623390560021,1.08732113845899,0.907868708133702,6462.210991401,0.997131941697006,173.550007011162,-73.5375580092998,9.41970293777519,350.188117779241,3.35462386155051
204,1.00144696173768,0.908314571810078,0.929668640192418,6548.66301229588,1.02790712178616,-198.024007626236,180.724714169296,9.22998351039301,366.500453589614,2.97650681055625
205,1.0278239875631,1.073583658904,0.990947971126772,6501.55960285792,0.999330794815415,66.7457030184417,-144.139498097475,9.03517263747549,353.613700219072,3.26845032474681
